text,tag
ครูรู้สึกดีค่ะรู้สึกนักเรียนมีความสุขดูมันโน่มีความสุขเรียนแบบนี้พอ1ปีปีไม่มีตลอดครูเรียนปีไม่มีเรียนแบบนี้ครู2คนผอไม่มีแบบนี้หนูสอนแบบนี้ค่ะ,0
แต่ละกลุ่มจัดการตัวเองเกิดกล้วยเสร็จบอกดูวิธีการต้มกล้วยอย่างไรครูอธิบายสมมติไหมเด็กบอกไม่ได้ครูครูเตรียมถามเกิดทำอย่างไรเกิดสอนเรื่องเด็กก็ได้เรียนรู้เด็ก,7
สตูลเรียนชั้น1โรงเรียนสตูลเล่าตอนเรียนชั้น1ครูครูพอเรียนครูชั้นป2ครูพานอกวิชาอย่างไรเรียนอย่างไรทำไมเรียนห้องจบพอเรียนนอกทำให้ใหม่ๆรู้ทำไมตนเองห้อง,0
ทำอุปกรณ์ใช้อุปกรณ์จริงครูอุปกรณ์ถามเด็กเด็กๆคะสิอุปกรณ์บ้างเด็กบอกหม้อถามสิบ้างเด็กบอกมันคะสมมติคุณครูเกิดเด็กบอกสมมติใส่มันเด็กบางคนโรงเรียนชอบครูใช้บอกใครครูใส่ตอนเด็กคนคุณครูบอกสิมันหนูนะเรื่องทำอย่างไรแบบนี้อย่างไรอย่างไรพยายามชวนคุยบอกพอพูดจบเด็กเอาอุปกรณ์เอาสอนพอครูสร้างเด็กครูเด็กดูกลุ่มช่วยกันตอนดูคุณครูวิธีการทำอย่างไรกล้วยต้มเด็กๆช่วยกันเอากล้วยเปลือกสอนวิธีการเปลือกกล้วยเด็กช่วยกันมันกลุ่มหนูไม่ได้ทำทำหนูครูครูไหนลองทำใหม่หนูกล้วยหนูทำอย่างไรเพื่อนคนกล้วยลูกทำอย่างไรทำทุกคน,7
,0
เด็กสนใจเรียนครูคนใหม่หาโจทย์วิจัยครูไพเราะชวนคุยถามเรื่อยๆทั้งชุมชนบ้างเด็กบางคนเสนอสิ่งตนเองชอบสิ่งตนเองทำสิ่งชุมชนจบ3ชั่วโมงที่จะเรียนครูไพเราะเวลากลับเอาคิดบ้าน1ชวนนักเรียนเรียนรู้ทักษะเด็กตอบลูกเก่งลูกสำคัญทำบอกไม่ใช่เรียนรู้,7
เดินกลับมาโรงเรียนบ้านไหลไหลทำงานเกี่ยวกับครูครูไหลเด็กดูใช้ทำอย่างไรเด็กถามเอาไหนทำไมมันทำได้อย่างไรมันทำให้ๆเล็กๆอย่างไรจากนั้นกลับมาโรงเรียน3ชั่วโมงครูนักเรียนเขียนคำถามพี่คอยดูน้องเขียนคำถามแต่ละกลุ่มกลุ่มอาร์มช่วยเขียนบนจบสำรวจชุมชน,0
เสร็จทำอย่างไรวางแผนอย่างไรเด็กบอกทำนะครูครูอ้อยถามทำอย่างไรเพื่อนพูดเรื่องฟังไม่ใช่เยอะเพื่อนฟังเพื่อนพูดเรื่องเวลาฟังเพื่อนฟังอย่างไรสนใจฟังคุยเพื่อนสื่อสารถามฟังเล่าเรื่องบ้างฟังทำอย่างไรๆครูเขียนบนพอๆรู้เขียนรู้ใจทำงานกลุ่มทำให้บ้างนอกตลอดครูอ้อยเดินพฤติกรรมเด็กครูอ้อยพัฒนาพฤติกรรมบางคนสามารถทำได้บางคนไม่ได้ใช้ครูเพื่อนๆนักเรียนชั้นป2วิชาศึกษาชีวิตปูป่าชายเลนเรียนรู้นอกครูอ้อยเด็กๆที่จะเรียนสิ่งเลือกไม่มี,7
เด็กผู้ปกครองคุณครูไพเราะเทศบาลเรื่องอยากรู้เรียนเทศบาลเรื่องโรงเรียนจากนั้นท่านเกี่ยวกับนักเรียนก็ได้เรียนรู้เรื่องรู้สึกนักเรียนความรู้นักเรียนวางแผนเรียนรู้สำรวจพอเวลาผู้ปกครองพานักเรียนโรงเรียนคอย,0
เด็กช่วยกันทำการเรียนรู้สัปดาห์ช่วยสัปดาห์เรียนรู้เรื่องไม่ได้สอนไหนเด็กเรื่องดูช่วยกระตุ้นเด็กแล้วก็ดูใครแบบนี้ไหมเด็กลองถามครูท่านอื่นโรงเรียนบ้าง,0
พัฒนาทำเส้นทางกระบวนการวิจัยครูจัดการเรียนรู้ใช้โจทย์วิจัย3ห้องเรียนเรื่อง1ปีวิธีการกระบวนการเรียนรู้สัปดาห์ตอนทำให้โจทย์การเรียนรู้เด็กเรียนสิ่งตนเองสนใจออกแบบคุณครูสิ่งครูเรียนรู้ครูสอนห้องตั้งคำถามคอยกระตุ้นเด็กคิดครูคำตอบคำตอบ,7
เด็กเขียนเล็กๆเรื่องเรียนเหตุผลเลือกวิธีการเรียนรู้บ้างวิชาใครบ้างอย่างไรเด็กๆใช้นำเสนอบนทั้งนำเสนอครูอ้อยบอกเด็กๆเขียนเด็กๆตนเอง,0
ใหม่เรียนรู้,0
ครูอ้อยสตูลปีเรียนรู้วิจัยปีเรียนรู้ตนเองกระบวนการจัดการเรียนการเรียนรู้วิจัยทำให้รู้จักเด็กจริงใช้รู้จักครูนักเรียนรู้สึกทำเวลาเด็กรู้สึกหายนักเรียนเอาเด็กช่วยเด็กรู้จักตนเองทักษะอื่นเรียนเก่ง,0
พอสัปดาห์เวลาสรุปความรู้นักเรียนเอาทำนำเสนอนำเสนอเกี่ยวกับสิ่งนักเรียนทำเด็กพาเด็กลองคำถามเด็กทำอย่างไรชุมชนกลุ่มออกแบบหนูชุมชนอย่างไรเด็กอธิบายฟังบ้างเกี่ยวกับชุมชนนักเรียนตัวเองช่วยเรื่องนักเรียนเด็กบอกคุณครูชั่วโมงสอนเด็กตอบเด็กทักษะบ้างวางแผน,7
เด็กๆไม่ได้ๆคิดเรียนรู้ครูๆเด็กพัฒนาดูอย่างไรตอนนำเสนอโน่พูดโน่พูดบ้างคนน้ำครูเอาเด็กๆเหมือนแต่ละกลุ่มเจอพี่มัธยมวาดรูปเล็กๆหาแล้วก็เด็กๆช่วยกันตอบแม่น้ำบ้านดีไหมดูนักเรียนบอกดีวัดน้ำน้ำนักเรียนแม่น้ำโรงเรียนทำให้โรงเรียนใช้ครูลองเด็กแต่ละกลุ่มน้ำตัวเองเอาทั้งนักเรียนใช้น้ำครูวัดน้ำสามารถใช้ครูอธิบายนักเรียนฟังตอนทำให้นักเรียนลองดูพี่มัธยมอยากรู้น้ำห้องผอเอาน้ำวัดน้ำนำเด็กบอกผอน้ำกินจริงๆกินน้ำบ้านก็ได้ๆ,0
โรงเรียนพานักเรียนการเรียนรู้พัฒนาป่าชายเลน5สตูลครู3คนผู้ปกครองเกี่ยวกับ2คนเจ้าหน้าที่เด็กๆเด็กๆเดินสำรวจบนลักษณะดูป่าชายเลนดูเส้นทางทำงานเด็กๆเดินกลุ่มตลอดเส้นทางจากนั้นกลับมาโรงเรียนเรื่องครูอ้อยชวนนักเรียนเขียนสรุปทำที่ไหนอย่างไรบ้างคำตอบรู้บ้างประเด็นวิชานักเรียนวาดรูปป่าชายเลนบ้างบ้างเชื่อมโยงนักเรียนปูสามารถ,0
ครูไปหาเหตุผลเก่งกลุ่มครูเหมือนกันสัปดาห์กลุ่มเตรียมข้อมูลเพิ่มเติมกลุ่มขนมรักเตรียมเรียนรู้ขั้นตอนทำขนมเพื่อนชิมกลุ่มยุงลายยุงสมมติบอกเหตุผลตอนเลือกครูๆบอกเลือกเรียนมีความสุขเกิดตนเองชุมชนสำคัญทำได้จริงใครเลือกเรื่องไหนไม่ได้เลือกเรื่องไหนทั้งห้องเลือกเรียนเรื่องยุงลายครูไพเราะถามเหตุผลกลุ่มขนมรักทำไมเด็กบอก3ชั่วโมงทำเสร็จแค่เพื่อนบางคนทำทำ,7
ทำไมน้ำทำไมน้ำใช้เวลาบนน้ำ,0
พอคุณครูบอกหนูใช้ค่ะทำเสนอมันสตูลนักเรียนคนทำแบบนี้ท่านไม่ได้จบไม่รู้สอนอย่างไรนักเรียนพยายามคิดทำอย่างไรชั่วโมงชั่วโมงวิจัยชั่วโมงวิจัยกลับความรู้ไม่ใช่โรงเรียนคุณครูนำกลับเทศบาลเทศบาลเกิดพัฒนาตลอดเกิดนักเรียนวางแผนสำรวจคำถามเตรียมพอทั้งเพิ่มเติมสำรวจพอสัปดาห์นำเสนอเพิ่มเติมไหนทั้งทำครูคุณครูมัธยมสนใจเอาช่วย,0
,7
